,4*1 Mux,8*1 Mux,16*1 Mux,32*1 Mux,1*2 DeMux,1*4 DeMux,1*8 DeMux,1*16 DeMux,1*32 DeMux,Latch,Adder,Subtractor,Multiplier,Comparator,2*1 Mux,TSB chain,Inverter Chain,Up-counter,Tri-state buffer,2x1 Mux output acting as select line for another Mux,Extra_FU_Input,Memory,Inverter output acting as input to the TSB,Multiple instances of Nx1 Mux output acting as inputs to 2x1 Mux,Label,,
CNN-TI1,0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,0,10,0,0,1,0,1,0,0,1,,
CNN-TI1,0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,0,30,0,0,1,0,1,0,0,1,,
CNN-TI1,0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,0,40,0,0,1,0,1,0,0,1,,
CNN-TI1,0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,0,50,0,0,1,0,1,0,0,1,,
FIR-TI1,12,2,2,0,0,10,1,1,0,12,2,0,2,1,3,0,10,0,0,1,0,1,0,0,1,,
FIR-TI1,12,2,2,0,0,10,1,1,0,12,2,0,2,1,3,0,30,0,0,1,0,1,0,0,1,,
FIR-TI1,12,2,2,0,0,10,1,1,0,12,2,0,2,1,3,0,40,0,0,1,0,1,0,0,1,,
FIR-TI1,12,2,2,0,0,10,1,1,0,12,2,0,2,1,3,0,50,0,0,1,0,1,0,0,1,,
MESA-TI1,3,1,0,0,7,3,1,0,0,21,3,0,4,1,17,0,10,0,0,1,0,1,0,0,1,,
MESA-TI1,3,1,0,0,7,3,1,0,0,21,3,0,4,1,17,0,30,0,0,1,0,1,0,0,1,,
MESA-TI1,3,1,0,0,7,3,1,0,0,21,3,0,4,1,17,0,40,0,0,1,0,1,0,0,1,,
MESA-TI1,3,1,0,0,7,3,1,0,0,21,3,0,4,1,17,0,50,0,0,1,0,1,0,0,1,,
GLRT-TI1,6,0,0,0,2,5,0,0,0,9,2,0,1,1,7,0,10,0,0,1,0,1,0,0,1,,
GLRT-TI1,6,0,0,0,2,5,0,0,0,9,2,0,1,1,7,0,30,0,0,1,0,1,0,0,1,,
GLRT-TI1,6,0,0,0,2,5,0,0,0,9,2,0,1,1,7,0,40,0,0,1,0,1,0,0,1,,
GLRT-TI1,6,0,0,0,2,5,0,0,0,9,2,0,1,1,7,0,50,0,0,1,0,1,0,0,1,,
IIR-TI1,9,1,0,0,1,5,1,0,0,12,1,1,2,1,4,0,10,0,0,1,0,1,0,0,1,,
IIR-TI1,9,1,0,0,1,5,1,0,0,12,1,1,2,1,4,0,30,0,0,1,0,1,0,0,1,,
IIR-TI1,9,1,0,0,1,5,1,0,0,12,1,1,2,1,4,0,40,0,0,1,0,1,0,0,1,,
IIR-TI1,9,1,0,0,1,5,1,0,0,12,1,1,2,1,4,0,50,0,0,1,0,1,0,0,1,,
4DCT-TI1,2,0,0,0,8,1,0,0,0,9,1,0,2,1,13,0,10,0,0,1,0,1,0,0,1,,
4DCT-TI1,2,0,0,0,8,1,0,0,0,9,1,0,2,1,13,0,30,0,0,1,0,1,0,0,1,,
4DCT-TI1,2,0,0,0,8,1,0,0,0,9,1,0,2,1,13,0,40,0,0,1,0,1,0,0,1,,
4DCT-TI1,2,0,0,0,8,1,0,0,0,9,1,0,2,1,13,0,50,0,0,1,0,1,0,0,1,,
SF-TI1,11,0,0,0,10,7,0,0,0,18,4,0,2,1,15,0,10,0,0,1,0,1,0,0,1,,
SF-TI1,11,0,0,0,10,7,0,0,0,18,4,0,2,1,15,0,30,0,0,1,0,1,0,0,1,,
SF-TI1,11,0,0,0,10,7,0,0,0,18,4,0,2,1,15,0,40,0,0,1,0,1,0,0,1,,
SF-TI1,11,0,0,0,10,7,0,0,0,18,4,0,2,1,15,0,50,0,0,1,0,1,0,0,1,,
8PointDCT-NoI,4,2,1,0,8,2,1,1,0,12,1,0,3,0,9,0,0,0,0,0,0,0,0,0,0,,
8PointDCT-TI1,4,2,1,0,8,2,1,1,0,12,1,0,3,1,12,0,20,0,0,1,0,1,0,0,1,,
8PointDCT-TI2,4,2,1,0,8,2,1,1,0,12,1,0,3,1,12,0,0,0,1,1,0,1,1,0,2,,
8PointDCT-TI3,4,2,1,0,8,2,1,1,0,12,1,0,3,0,9,0,0,1,0,0,0,0,0,0,3,,
8PointDCT-TI4,4,2,1,0,8,2,1,1,0,12,1,0,3,1,10,0,0,0,0,0,0,0,0,0,4,,
8PointDCT-TI5,4,2,1,0,8,2,1,1,0,12,1,0,3,0,10,0,0,0,0,0,1,0,0,0,5,,
8PointDCT-TI6,4,2,1,0,8,2,1,1,0,12,1,0,3,1,12,48,0,1,0,1,0,1,1,0,6,,
8DCT-TI1,4,2,1,0,8,2,1,1,0,12,1,0,3,1,12,0,10,0,0,1,0,1,0,0,1,,
8DCT-TI1,4,2,1,0,8,2,1,1,0,12,1,0,3,1,12,0,30,0,0,1,0,1,0,0,1,,
8DCT-TI1,4,2,1,0,8,2,1,1,0,12,1,0,3,1,12,0,40,0,0,1,0,1,0,0,1,,
8DCT-TI1,4,2,1,0,8,2,1,1,0,12,1,0,3,1,12,0,50,0,0,1,0,1,0,0,1,,
LEDFilter-NoI,4,2,0,0,6,2,2,0,0,12,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,,
LEDFilter-TI1,4,2,0,0,6,2,2,0,0,12,2,0,2,1,11,0,20,0,0,1,0,1,0,0,1,,
LEDFilter-TI2,4,2,0,0,6,2,2,0,0,12,2,0,2,1,11,0,0,0,1,1,0,1,1,0,2,,
LEDFilter-TI3,4,2,0,0,6,2,2,0,0,12,2,0,2,0,8,0,0,1,0,0,0,0,0,0,3,,
LEDFilter-TI4,4,2,0,0,6,2,2,0,0,12,2,0,2,1,9,0,0,0,0,0,0,0,0,0,4,,
LEDFilter-TI5,4,2,0,0,6,2,2,0,0,12,2,0,2,0,9,0,0,0,0,0,1,0,0,0,5,,
LEDFilter-TI6,4,2,0,0,6,2,2,0,0,12,2,0,2,1,11,48,0,1,0,1,0,1,1,0,6,,
LED-TI1,4,2,0,0,6,2,2,0,0,12,2,0,2,1,11,0,10,0,0,1,0,1,0,0,1,,
LED-TI1,4,2,0,0,6,2,2,0,0,12,2,0,2,1,11,0,30,0,0,1,0,1,0,0,1,,
LED-TI1,4,2,0,0,6,2,2,0,0,12,2,0,2,1,11,0,40,0,0,1,0,1,0,0,1,,
LED-TI1,4,2,0,0,6,2,2,0,0,12,2,0,2,1,11,0,50,0,0,1,0,1,0,0,1,,
BlurFilter-NoI,2,2,2,0,5,2,2,1,0,6,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,,
BlurFilter-TI1,2,2,2,0,5,2,2,1,0,6,1,0,1,1,9,0,20,0,0,1,0,1,0,0,1,,
BlurFilter-TI2,2,2,2,0,5,2,2,1,0,6,1,0,1,1,9,0,0,0,1,1,0,1,1,0,2,,
BlurFilter-TI3,2,2,2,0,5,2,2,1,0,6,1,0,1,0,6,0,0,1,0,0,0,0,0,0,3,,
BlurFilter-TI4,2,2,2,0,5,2,2,1,0,6,1,0,1,1,7,0,0,0,0,0,0,0,0,0,4,,
BlurFilter-TI5,2,2,2,0,5,2,2,1,0,6,1,0,1,0,7,0,0,0,0,0,1,0,0,0,5,,
BlurFilter-TI6,2,2,2,0,5,2,2,1,0,6,1,0,1,1,9,48,0,1,0,1,0,1,1,0,6,,
BLUR-TI1,2,2,2,0,5,2,2,1,0,6,1,0,1,1,9,0,10,0,0,1,0,1,0,0,1,,
BLUR-TI1,2,2,2,0,5,2,2,1,0,6,1,0,1,1,9,0,30,0,0,1,0,1,0,0,1,,
BLUR-TI1,2,2,2,0,5,2,2,1,0,6,1,0,1,1,9,0,40,0,0,1,0,1,0,0,1,,
BLUR-TI1,2,2,2,0,5,2,2,1,0,6,1,0,1,1,9,0,50,0,0,1,0,1,0,0,1,,
DWT-NoI,3,4,1,0,2,3,2,1,0,9,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,,
DWT-TI1,3,4,1,0,2,3,2,1,0,9,1,0,2,1,6,0,20,0,0,1,0,1,0,0,1,,
DWT-TI2,3,4,1,0,2,3,2,1,0,9,1,0,2,1,6,0,0,0,1,1,0,1,1,0,2,,
DWT-TI3,3,4,1,0,2,3,2,1,0,9,1,0,2,0,3,0,0,1,0,0,0,0,0,0,3,,
DWT-TI4,3,4,1,0,2,3,2,1,0,9,1,0,2,1,4,0,0,0,0,0,0,0,0,0,4,,
DWT-TI5,3,4,1,0,2,3,2,1,0,9,1,0,2,0,4,0,0,0,0,0,1,0,0,0,5,,
DWT-TI6,3,4,1,0,2,3,2,1,0,9,1,0,2,1,6,48,0,1,0,1,0,1,1,0,6,,
DWT-TI1,3,4,1,0,2,3,2,1,0,9,1,0,2,1,6,0,10,0,0,1,0,1,0,0,1,,
DWT-TI1,3,4,1,0,2,3,2,1,0,9,1,0,2,1,6,0,30,0,0,1,0,1,0,0,1,,
DWT-TI1,3,4,1,0,2,3,2,1,0,9,1,0,2,1,6,0,40,0,0,1,0,1,0,0,1,,
DWT-TI1,3,4,1,0,2,3,2,1,0,9,1,0,2,1,6,0,50,0,0,1,0,1,0,0,1,,
VE-NoI,2,0,0,0,5,2,0,0,0,9,1,0,2,0,8,0,0,0,0,0,0,0,0,0,0,,
VE-TI1,2,0,0,0,5,2,0,0,0,9,1,0,2,1,11,0,20,0,0,1,0,1,0,0,1,,
VE-TI2,2,0,0,0,5,2,0,0,0,9,1,0,2,1,11,0,0,0,1,1,0,1,1,0,2,,
VE-TI3,2,0,0,0,5,2,0,0,0,9,1,0,2,0,8,0,0,1,0,0,0,0,0,0,3,,
VE-TI4,2,0,0,0,5,2,0,0,0,9,1,0,2,1,9,0,0,0,0,0,0,0,0,0,4,,
VE-TI5,2,0,0,0,5,2,0,0,0,9,1,0,2,0,9,0,0,0,0,0,1,0,0,0,5,,
VE-TI6,2,0,0,0,5,2,0,0,0,9,1,0,2,1,11,48,0,1,0,1,0,1,1,0,6,,
VE-TI1,2,0,0,0,5,2,0,0,0,9,1,0,2,1,11,0,10,0,0,1,0,1,0,0,1,,
VE-TI1,2,0,0,0,5,2,0,0,0,9,1,0,2,1,11,0,30,0,0,1,0,1,0,0,1,,
VE-TI1,2,0,0,0,5,2,0,0,0,9,1,0,2,1,11,0,40,0,0,1,0,1,0,0,1,,
VE-TI1,2,0,0,0,5,2,0,0,0,9,1,0,2,1,11,0,50,0,0,1,0,1,0,0,1,,
HE-NoI,2,0,0,0,5,2,0,0,0,9,1,0,2,0,8,0,0,0,0,0,0,0,0,0,0,,
HE-TI1,2,0,0,0,5,2,0,0,0,9,1,0,2,1,11,0,20,0,0,1,0,1,0,0,1,,
HE-TI2,2,0,0,0,5,2,0,0,0,9,1,0,2,1,11,0,0,0,1,1,0,1,1,0,2,,
HE-TI3,2,0,0,0,5,2,0,0,0,9,1,0,2,0,8,0,0,1,0,0,0,0,0,0,3,,
HE-TI4,2,0,0,0,5,2,0,0,0,9,1,0,2,1,9,0,0,0,0,0,0,0,0,0,4,,
HE-TI5,2,0,0,0,5,2,0,0,0,9,1,0,2,0,9,0,0,0,0,0,1,0,0,0,5,,
HE-TI6,2,0,0,0,5,2,0,0,0,9,1,0,2,1,11,48,0,1,0,1,0,1,1,0,6,,
HE-TI1,2,0,0,0,5,2,0,0,0,9,1,0,2,1,11,0,10,0,0,1,0,1,0,0,1,,
HE-TI1,2,0,0,0,5,2,0,0,0,9,1,0,2,1,11,0,30,0,0,1,0,1,0,0,1,,
HE-TI1,2,0,0,0,5,2,0,0,0,9,1,0,2,1,11,0,40,0,0,1,0,1,0,0,1,,
HE-TI1,2,0,0,0,5,2,0,0,0,9,1,0,2,1,11,0,50,0,0,1,0,1,0,0,1,,
CardiacPacemaker-NoI,0,12,4,0,10,0,9,2,0,15,2,0,3,0,10,0,0,0,0,0,0,0,0,0,0,,
CardiacPacemaker-TI1,0,12,4,0,10,0,9,2,0,15,2,0,3,1,13,0,20,0,0,1,0,1,0,0,1,,
CardiacPacemaker-TI2,0,12,4,0,10,0,9,2,0,15,2,0,3,1,13,0,0,0,1,1,0,1,1,0,2,,
CardiacPacemaker-TI3,0,12,4,0,10,0,9,2,0,15,2,0,3,0,10,0,0,1,0,0,0,0,0,0,3,,
CardiacPacemaker-TI4,0,12,4,0,10,0,9,2,0,15,2,0,3,1,11,0,0,0,0,0,0,0,0,0,4,,
CardiacPacemaker-TI5,0,12,4,0,10,0,9,2,0,15,2,0,3,0,11,0,0,0,0,0,1,0,0,0,5,,
